epoch,global_step,loss
0,0,2.562253475189209
0,100,2.3057870864868164
0,200,2.3123090267181396
0,300,2.300650119781494
1,352,2.2794363498687744
1,452,2.2560207843780518
1,552,2.216202735900879
1,652,2.0349597930908203
2,704,2.075201988220215
2,804,1.7508511543273926
2,904,1.7661051750183105
2,1004,1.6174581050872803
3,1056,1.6174854040145874
3,1156,1.3883695602416992
3,1256,1.4352130889892578
3,1356,1.28728449344635
4,1408,1.227852702140808
4,1508,1.2404232025146484
4,1608,1.2018964290618896
4,1708,1.083747148513794
5,1760,0.9690799117088318
5,1860,1.186529517173767
5,1960,0.8625637888908386
5,2060,0.9708583950996399
6,2112,0.7932894825935364
6,2212,0.8631994128227234
6,2312,0.9259315133094788
6,2412,0.8527718186378479
7,2464,0.9210600256919861
7,2564,0.7191929817199707
7,2664,0.7286257743835449
7,2764,0.8062964677810669
8,2816,0.7348437905311584
8,2916,0.7224677801132202
8,3016,0.7038803100585938
8,3116,0.5875207185745239
9,3168,0.7419307231903076
9,3268,0.7672299742698669
9,3368,0.6344324946403503
9,3468,0.5458523035049438
10,3520,0.7660208344459534
10,3620,0.6642159223556519
10,3720,0.5635556578636169
10,3820,0.5792540311813354
11,3872,0.6472225785255432
11,3972,0.6397903561592102
11,4072,0.5339762568473816
11,4172,0.6877809166908264
12,4224,0.7387259006500244
12,4324,0.5684797167778015
12,4424,0.5375176072120667
12,4524,0.5656059384346008
13,4576,0.3939964771270752
13,4676,0.5549370646476746
13,4776,0.5742954611778259
13,4876,0.4129990339279175
14,4928,0.5627146363258362
14,5028,0.5001555681228638
14,5128,0.36414122581481934
14,5228,0.5283408164978027
15,5280,0.43079617619514465
15,5380,0.41639307141304016
15,5480,0.5776836276054382
15,5580,0.4171859920024872
16,5632,0.5106507539749146
16,5732,0.5033773183822632
16,5832,0.33797046542167664
16,5932,0.386197030544281
17,5984,0.5082753896713257
17,6084,0.3460233509540558
17,6184,0.44601306319236755
17,6284,0.3079066276550293
18,6336,0.5697996020317078
18,6436,0.35391753911972046
18,6536,0.5092511177062988
18,6636,0.45577090978622437
19,6688,0.45441555976867676
19,6788,0.3850487768650055
19,6888,0.35594916343688965
19,6988,0.366013765335083
20,7040,0.47402632236480713
20,7140,0.5054142475128174
20,7240,0.4607728123664856
20,7340,0.33820855617523193
21,7392,0.590610146522522
21,7492,0.4975076913833618
21,7592,0.5534428358078003
21,7692,0.5758330225944519
22,7744,0.4510173797607422
22,7844,0.34328386187553406
22,7944,0.36138731241226196
22,8044,0.42086678743362427
23,8096,0.45759275555610657
23,8196,0.45626300573349
23,8296,0.3944227695465088
23,8396,0.3871261775493622
24,8448,0.41680285334587097
24,8548,0.3442690670490265
24,8648,0.4298166036605835
24,8748,0.3334321975708008
25,8800,0.33464691042900085
25,8900,0.43781113624572754
25,9000,0.3517390489578247
25,9100,0.3023900091648102
26,9152,0.3544853627681732
26,9252,0.3138568699359894
26,9352,0.395987331867218
26,9452,0.3650224804878235
27,9504,0.22736838459968567
27,9604,0.5271770358085632
27,9704,0.418474406003952
27,9804,0.4028643071651459
28,9856,0.37925952672958374
28,9956,0.33732277154922485
28,10056,0.3810596764087677
28,10156,0.4538610279560089
29,10208,0.34201690554618835
29,10308,0.39557212591171265
29,10408,0.34574973583221436
29,10508,0.44127345085144043
30,10560,0.44652092456817627
30,10660,0.30928075313568115
30,10760,0.46010008454322815
30,10860,0.1336594820022583
31,10912,0.2715702950954437
31,11012,0.2899859845638275
31,11112,0.281461238861084
31,11212,0.3092080056667328
32,11264,0.30560824275016785
32,11364,0.3540036678314209
32,11464,0.3522259294986725
32,11564,0.4897959530353546
33,11616,0.25966158509254456
33,11716,0.2543683350086212
33,11816,0.2708340287208557
33,11916,0.21025629341602325
34,11968,0.2693917453289032
34,12068,0.2826816737651825
34,12168,0.32180821895599365
34,12268,0.1865369975566864
35,12320,0.3514350950717926
35,12420,0.3489187955856323
35,12520,0.24482320249080658
35,12620,0.2685925364494324
36,12672,0.3315696120262146
36,12772,0.31265971064567566
36,12872,0.3125000596046448
36,12972,0.45501795411109924
37,13024,0.2030692845582962
37,13124,0.2770865857601166
37,13224,0.2153095304965973
37,13324,0.4071922302246094
38,13376,0.3237220048904419
38,13476,0.2649047374725342
38,13576,0.34221094846725464
38,13676,0.299406498670578
39,13728,0.18915195763111115
39,13828,0.2655552327632904
39,13928,0.3123703598976135
39,14028,0.35705578327178955
40,14080,0.2567242980003357
40,14180,0.1818445324897766
40,14280,0.28953680396080017
40,14380,0.26548728346824646
41,14432,0.22932276129722595
41,14532,0.3520301580429077
41,14632,0.44122087955474854
41,14732,0.13238099217414856
42,14784,0.15029042959213257
42,14884,0.23229484260082245
42,14984,0.3384306728839874
42,15084,0.17625808715820312
43,15136,0.15635521709918976
43,15236,0.242229625582695
43,15336,0.27656012773513794
43,15436,0.3937697410583496
44,15488,0.18835975229740143
44,15588,0.3188496232032776
44,15688,0.17768582701683044
44,15788,0.3251889944076538
45,15840,0.22315585613250732
45,15940,0.40176254510879517
45,16040,0.23497562110424042
45,16140,0.2503957152366638
46,16192,0.18677571415901184
46,16292,0.27722543478012085
46,16392,0.343069463968277
46,16492,0.30873844027519226
47,16544,0.23628415167331696
47,16644,0.37247714400291443
47,16744,0.20122842490673065
47,16844,0.18112024664878845
48,16896,0.28722047805786133
48,16996,0.3044893741607666
48,17096,0.2823582887649536
48,17196,0.29640448093414307
49,17248,0.2256394475698471
49,17348,0.38674405217170715
49,17448,0.16769224405288696
49,17548,0.3243892192840576
50,17600,0.3014757037162781
50,17700,0.38290688395500183
50,17800,0.18923266232013702
50,17900,0.19821403920650482
51,17952,0.28859928250312805
51,18052,0.1555827111005783
51,18152,0.2949446439743042
51,18252,0.34293797612190247
52,18304,0.19905854761600494
52,18404,0.29924625158309937
52,18504,0.18034628033638
52,18604,0.25669050216674805
53,18656,0.16915015876293182
53,18756,0.22543658316135406
53,18856,0.1613292396068573
53,18956,0.3270687162876129
54,19008,0.1532571017742157
54,19108,0.14121922850608826
54,19208,0.16580700874328613
54,19308,0.2610618770122528
55,19360,0.21285393834114075
55,19460,0.2381288707256317
55,19560,0.26261401176452637
55,19660,0.3184817433357239
56,19712,0.409586638212204
56,19812,0.26983213424682617
56,19912,0.23572930693626404
56,20012,0.17576952278614044
57,20064,0.22313489019870758
57,20164,0.21068787574768066
57,20264,0.2009955197572708
57,20364,0.2863231301307678
58,20416,0.25743812322616577
58,20516,0.15183940529823303
58,20616,0.26675423979759216
58,20716,0.16835178434848785
59,20768,0.2131720781326294
59,20868,0.2989993691444397
59,20968,0.2515876591205597
59,21068,0.2144882082939148
60,21120,0.27108943462371826
60,21220,0.2627553343772888
60,21320,0.18039658665657043
60,21420,0.19793221354484558
61,21472,0.24828574061393738
61,21572,0.3531548082828522
61,21672,0.3603776693344116
61,21772,0.19777214527130127
62,21824,0.12553770840168
62,21924,0.1807892769575119
62,22024,0.26285913586616516
62,22124,0.2487953007221222
63,22176,0.13642355799674988
63,22276,0.34784576296806335
63,22376,0.15622982382774353
63,22476,0.18212488293647766
64,22528,0.21314087510108948
64,22628,0.22768515348434448
64,22728,0.16302230954170227
64,22828,0.19328376650810242
65,22880,0.22088319063186646
65,22980,0.21837246417999268
65,23080,0.21618574857711792
65,23180,0.25982093811035156
66,23232,0.22759072482585907
66,23332,0.1970796287059784
66,23432,0.2430698573589325
66,23532,0.13797423243522644
67,23584,0.1953977346420288
67,23684,0.23697198927402496
67,23784,0.3791341185569763
67,23884,0.2725523114204407
68,23936,0.2799122929573059
68,24036,0.2181723415851593
68,24136,0.22770872712135315
68,24236,0.2483779340982437
69,24288,0.21259662508964539
69,24388,0.15491876006126404
69,24488,0.21974053978919983
69,24588,0.2504355013370514
70,24640,0.21075782179832458
70,24740,0.20509213209152222
70,24840,0.29244160652160645
70,24940,0.1722179353237152
71,24992,0.23526854813098907
71,25092,0.16181506216526031
71,25192,0.23084193468093872
71,25292,0.2066839188337326
72,25344,0.27406010031700134
72,25444,0.20856909453868866
72,25544,0.2530815303325653
72,25644,0.17496559023857117
73,25696,0.2740183174610138
73,25796,0.28416141867637634
73,25896,0.25548726320266724
73,25996,0.24385428428649902
74,26048,0.1683303862810135
74,26148,0.14505907893180847
74,26248,0.214596688747406
74,26348,0.18071535229682922
75,26400,0.2250359058380127
75,26500,0.0927332192659378
75,26600,0.28465136885643005
75,26700,0.15074920654296875
76,26752,0.176032155752182
76,26852,0.13525214791297913
76,26952,0.2207992821931839
76,27052,0.16046497225761414
77,27104,0.22264155745506287
77,27204,0.24683526158332825
77,27304,0.16889111697673798
77,27404,0.24670571088790894
78,27456,0.16992175579071045
78,27556,0.18886494636535645
78,27656,0.1716155856847763
78,27756,0.3379550576210022
79,27808,0.18478354811668396
79,27908,0.12094953656196594
79,28008,0.13720379769802094
79,28108,0.15723854303359985
80,28160,0.2304794192314148
80,28260,0.1653214693069458
80,28360,0.2925375699996948
80,28460,0.20804473757743835
81,28512,0.1774890422821045
81,28612,0.15728726983070374
81,28712,0.2023032009601593
81,28812,0.1852811574935913
82,28864,0.2522784471511841
82,28964,0.13534696400165558
82,29064,0.15241359174251556
82,29164,0.17789839208126068
83,29216,0.14313958585262299
83,29316,0.3138226866722107
83,29416,0.23854747414588928
83,29516,0.16721265017986298
84,29568,0.13151511549949646
84,29668,0.14395061135292053
84,29768,0.1306765228509903
84,29868,0.2051633894443512
85,29920,0.18930169939994812
85,30020,0.2139696180820465
85,30120,0.14374284446239471
85,30220,0.1869957596063614
86,30272,0.26858747005462646
86,30372,0.24450328946113586
86,30472,0.22070375084877014
86,30572,0.2872354984283447
87,30624,0.2094016671180725
87,30724,0.191154345870018
87,30824,0.15651172399520874
87,30924,0.23962853848934174
88,30976,0.24769960343837738
88,31076,0.2982601225376129
88,31176,0.1584191769361496
88,31276,0.10507673025131226
89,31328,0.18210254609584808
89,31428,0.1717004030942917
89,31528,0.22660310566425323
89,31628,0.31149426102638245
90,31680,0.1483195424079895
90,31780,0.10895232111215591
90,31880,0.1856648325920105
90,31980,0.17710129916667938
91,32032,0.13834309577941895
91,32132,0.16316431760787964
91,32232,0.19818679988384247
91,32332,0.17263634502887726
92,32384,0.1169569194316864
92,32484,0.1321861296892166
92,32584,0.1824130415916443
92,32684,0.21419453620910645
93,32736,0.2345828115940094
93,32836,0.12951059639453888
93,32936,0.24666479229927063
93,33036,0.4516502618789673
94,33088,0.13413015007972717
94,33188,0.1419333666563034
94,33288,0.19230052828788757
94,33388,0.2359900325536728
95,33440,0.1792200356721878
95,33540,0.25524765253067017
95,33640,0.17332057654857635
95,33740,0.1600724160671234
96,33792,0.17623302340507507
96,33892,0.0598042830824852
