epoch,global_step,running_loss
0,0,0.026645615100860595
0,100,2.693910982608795
0,200,2.298632068634033
0,300,2.1657803654670715
1,352,0.020313992500305175
1,452,1.917965064048767
1,552,1.8540520238876343
1,652,1.7931465911865234
2,704,0.016991155147552492
2,804,1.715338991880417
2,904,1.682161033153534
2,1004,1.6222728073596955
3,1056,0.016255970001220702
3,1156,1.5456711518764497
3,1256,1.5337828314304351
3,1356,1.4883286190032958
4,1408,0.014307119846343995
4,1508,1.4374696123600006
4,1608,1.3503237640857697
4,1708,1.3162136673927307
5,1760,0.014212440252304077
5,1860,1.2343902051448823
5,1960,1.1893779706954957
5,2060,1.1556048429012298
6,2112,0.01092324137687683
6,2212,1.1088000565767289
6,2312,1.0741656094789505
6,2412,1.0704449623823167
7,2464,0.00929603099822998
7,2564,1.0209717512130738
7,2664,1.007744438648224
7,2764,0.989314250946045
8,2816,0.009703078866004944
8,2916,0.940791421532631
8,3016,0.9280087381601334
8,3116,0.918808256983757
9,3168,0.010091173648834228
9,3268,0.877502943277359
9,3368,0.8750969928503036
9,3468,0.8705463927984237
10,3520,0.008309680223464965
10,3620,0.8208146220445633
10,3720,0.8162830179929733
10,3820,0.8151385509967803
11,3872,0.008029252290725708
11,3972,0.7688431921601295
11,4072,0.7775366008281708
11,4172,0.7552273213863373
12,4224,0.005488899946212769
12,4324,0.7484396302700043
12,4424,0.726835353076458
12,4524,0.7300167268514633
13,4576,0.007348568439483643
13,4676,0.7097696170210839
13,4776,0.7073337316513062
13,4876,0.6960193327069283
14,4928,0.006360649466514588
14,5028,0.6847663408517838
14,5128,0.6680413296818734
14,5228,0.6456595203280449
15,5280,0.0062548905611038205
15,5380,0.6428836047649383
15,5480,0.6379183188080788
15,5580,0.6426364946365356
16,5632,0.005491496920585632
16,5732,0.6097445541620254
16,5832,0.6250136163830757
16,5932,0.6254723927378655
17,5984,0.006062290668487549
17,6084,0.6070187807083129
17,6184,0.6039938777685165
17,6284,0.5999076640605927
18,6336,0.005097965002059937
18,6436,0.5756371176242828
18,6536,0.5827833300828934
18,6636,0.5753072068095207
19,6688,0.004517136812210083
19,6788,0.5498156282305717
19,6888,0.5659691321849823
19,6988,0.5610673463344574
20,7040,0.00409747451543808
20,7140,0.551041522026062
20,7240,0.5454144713282585
20,7340,0.5504347971081733
21,7392,0.004862046241760254
21,7492,0.5396175497770309
21,7592,0.5245436683297158
21,7692,0.5359232446551323
22,7744,0.0047280353307724
22,7844,0.5299741607904435
22,7944,0.5194969472289085
22,8044,0.5060989546775818
23,8096,0.004812198877334595
23,8196,0.505192534327507
23,8296,0.5194646328687668
23,8396,0.49568183928728105
24,8448,0.00396599292755127
24,8548,0.5036369886994362
24,8648,0.505361538529396
24,8748,0.47707772225141526
25,8800,0.004168642163276673
25,8900,0.47884147554636003
25,9000,0.48151498317718505
25,9100,0.47925393015146256
26,9152,0.006488479971885681
26,9252,0.46446704655885696
26,9352,0.47734094560146334
26,9452,0.4803092265129089
27,9504,0.004958906173706055
27,9604,0.4474918486177921
27,9704,0.47357151240110396
27,9804,0.4608568802475929
28,9856,0.006491690278053284
28,9956,0.45770010963082314
28,10056,0.45018883138895033
28,10156,0.4605052947998047
29,10208,0.0037192863225936888
29,10308,0.4468263453245163
29,10408,0.4527361637353897
29,10508,0.4707571852207184
30,10560,0.003907881081104279
30,10660,0.4415295451879501
30,10760,0.44555649608373643
30,10860,0.44174673095345496
31,10912,0.003627060353755951
31,11012,0.4365844240784645
