epoch,global_step,loss
0,0,3.3738365173339844
0,100,2.3123486042022705
0,200,2.2915217876434326
0,300,2.2837278842926025
1,352,2.29689359664917
1,452,2.3033249378204346
1,552,2.119549512863159
1,652,2.099546194076538
2,704,2.061798095703125
2,804,2.0230162143707275
2,904,1.7614781856536865
2,1004,1.8140957355499268
3,1056,1.7805498838424683
3,1156,1.6493347883224487
3,1256,1.6669775247573853
3,1356,1.6869003772735596
4,1408,1.4546597003936768
4,1508,1.3658661842346191
4,1608,1.3756767511367798
4,1708,1.2275466918945312
5,1760,1.4345085620880127
5,1860,1.2909362316131592
5,1960,1.1282588243484497
5,2060,1.026961326599121
6,2112,0.9820457696914673
6,2212,0.8775172233581543
6,2312,1.1335184574127197
6,2412,0.9987800121307373
7,2464,0.9383172392845154
7,2564,0.906327486038208
7,2664,0.9543215036392212
7,2764,0.9105228781700134
8,2816,0.9396920800209045
8,2916,0.7931591272354126
8,3016,0.7984681129455566
8,3116,0.7638454437255859
9,3168,0.7422865033149719
9,3268,0.7613542079925537
9,3368,0.7678499221801758
9,3468,0.6804131269454956
10,3520,0.6548740863800049
10,3620,0.6010312438011169
10,3720,0.5359271764755249
10,3820,0.6430016756057739
11,3872,0.5945449471473694
11,3972,0.6032916307449341
11,4072,0.5707465410232544
11,4172,0.4861379861831665
12,4224,0.6873971223831177
12,4324,0.6139112114906311
12,4424,0.6188652515411377
12,4524,0.4450172185897827
13,4576,0.38123637437820435
13,4676,0.5955625176429749
13,4776,0.5377658605575562
13,4876,0.38747572898864746
14,4928,0.5936788320541382
14,5028,0.5615509748458862
14,5128,0.425785630941391
14,5228,0.48142537474632263
15,5280,0.45980414748191833
15,5380,0.6546033024787903
15,5480,0.6050428748130798
15,5580,0.42979809641838074
16,5632,0.3545924425125122
16,5732,0.42312297224998474
16,5832,0.6142949461936951
16,5932,0.4673129618167877
17,5984,0.5624691843986511
17,6084,0.3512587547302246
17,6184,0.5866261720657349
17,6284,0.3944483697414398
18,6336,0.43251264095306396
18,6436,0.4797006845474243
18,6536,0.4017068147659302
18,6636,0.4730459451675415
19,6688,0.3969520330429077
19,6788,0.46721357107162476
19,6888,0.37160277366638184
19,6988,0.33271461725234985
20,7040,0.44527655839920044
20,7140,0.4461077153682709
20,7240,0.3934256434440613
20,7340,0.5210829377174377
21,7392,0.35423263907432556
21,7492,0.3754120469093323
21,7592,0.3905261158943176
21,7692,0.28379175066947937
22,7744,0.42212316393852234
22,7844,0.2973242402076721
22,7944,0.2614481449127197
22,8044,0.43673041462898254
23,8096,0.2917332053184509
23,8196,0.3318876028060913
23,8296,0.3320048451423645
23,8396,0.29610031843185425
24,8448,0.4809880256652832
24,8548,0.3349892497062683
24,8648,0.30972594022750854
24,8748,0.31910109519958496
25,8800,0.3249124586582184
25,8900,0.25894856452941895
25,9000,0.20541436970233917
25,9100,0.38599443435668945
26,9152,0.2712317109107971
26,9252,0.23258450627326965
26,9352,0.4376290440559387
26,9452,0.3000556528568268
27,9504,0.34993505477905273
27,9604,0.3629330098628998
27,9704,0.35097384452819824
27,9804,0.3315635025501251
28,9856,0.29791900515556335
28,9956,0.43638837337493896
28,10056,0.262136846780777
28,10156,0.41116413474082947
29,10208,0.25242456793785095
29,10308,0.3341224789619446
29,10408,0.365124374628067
29,10508,0.16991032660007477
30,10560,0.30288127064704895
30,10660,0.5138965249061584
30,10760,0.26586395502090454
30,10860,0.17602458596229553
31,10912,0.22372356057167053
31,11012,0.35886192321777344
31,11112,0.3559097349643707
31,11212,0.27834945917129517
32,11264,0.2880311608314514
32,11364,0.2835749089717865
32,11464,0.30050715804100037
32,11564,0.37676969170570374
33,11616,0.28522270917892456
33,11716,0.32292330265045166
33,11816,0.19981206953525543
33,11916,0.2890835404396057
34,11968,0.2506656050682068
34,12068,0.2615262567996979
34,12168,0.4053649306297302
34,12268,0.2486153095960617
35,12320,0.2069530338048935
35,12420,0.3558441400527954
35,12520,0.35001903772354126
35,12620,0.24201266467571259
36,12672,0.311870276927948
36,12772,0.2789979577064514
36,12872,0.24543872475624084
36,12972,0.3338065445423126
37,13024,0.23431414365768433
37,13124,0.26337969303131104
37,13224,0.20735912024974823
37,13324,0.24691422283649445
38,13376,0.32616865634918213
38,13476,0.29330819845199585
38,13576,0.22760604321956635
38,13676,0.27480584383010864
39,13728,0.23990073800086975
39,13828,0.18147459626197815
39,13928,0.23042966425418854
39,14028,0.26219627261161804
40,14080,0.1623213291168213
40,14180,0.16631530225276947
40,14280,0.28449374437332153
40,14380,0.2911441922187805
41,14432,0.2399728000164032
41,14532,0.21172690391540527
41,14632,0.35420656204223633
41,14732,0.23291154205799103
42,14784,0.1518002450466156
42,14884,0.2922300696372986
42,14984,0.2491324245929718
42,15084,0.36009618639945984
43,15136,0.2026699334383011
43,15236,0.2114086151123047
43,15336,0.20899590849876404
43,15436,0.18634574115276337
44,15488,0.15169678628444672
44,15588,0.2735380232334137
44,15688,0.2009594738483429
44,15788,0.2407054901123047
45,15840,0.2511655390262604
45,15940,0.2867426574230194
45,16040,0.2086234986782074
45,16140,0.3056711256504059
46,16192,0.19665084779262543
46,16292,0.23626621067523956
46,16392,0.2892377972602844
46,16492,0.16835002601146698
47,16544,0.23091572523117065
47,16644,0.22949567437171936
47,16744,0.18498706817626953
47,16844,0.2711409032344818
48,16896,0.17570368945598602
48,16996,0.25999385118484497
48,17096,0.28347769379615784
48,17196,0.3141046166419983
49,17248,0.26425421237945557
49,17348,0.1777046024799347
49,17448,0.26702308654785156
49,17548,0.22073638439178467
50,17600,0.23480761051177979
50,17700,0.23430198431015015
50,17800,0.26090681552886963
50,17900,0.13451562821865082
51,17952,0.3778306543827057
51,18052,0.15645834803581238
51,18152,0.23683927953243256
51,18252,0.2852473556995392
52,18304,0.19290727376937866
52,18404,0.222542405128479
52,18504,0.1391228884458542
52,18604,0.27043426036834717
53,18656,0.20204587280750275
53,18756,0.21043899655342102
53,18856,0.21238912642002106
53,18956,0.22514957189559937
54,19008,0.19542254507541656
54,19108,0.1552089899778366
54,19208,0.21563774347305298
54,19308,0.2938348054885864
55,19360,0.12321094423532486
55,19460,0.25918811559677124
55,19560,0.19994094967842102
55,19660,0.20526108145713806
56,19712,0.13657468557357788
56,19812,0.19747965037822723
56,19912,0.35549768805503845
56,20012,0.1860896348953247
57,20064,0.14347288012504578
57,20164,0.0980110615491867
57,20264,0.19436170160770416
57,20364,0.2279590368270874
58,20416,0.27116501331329346
58,20516,0.08866769075393677
58,20616,0.1686009168624878
58,20716,0.20776373147964478
59,20768,0.16370604932308197
59,20868,0.23170766234397888
59,20968,0.20112787187099457
59,21068,0.25707581639289856
60,21120,0.21397359669208527
60,21220,0.1287473440170288
60,21320,0.1412820965051651
60,21420,0.19819045066833496
61,21472,0.11737294495105743
61,21572,0.12433978915214539
61,21672,0.26798275113105774
61,21772,0.25253620743751526
62,21824,0.149353489279747
62,21924,0.2747204303741455
62,22024,0.1186927855014801
62,22124,0.15884552896022797
63,22176,0.26971420645713806
63,22276,0.1736277937889099
63,22376,0.2556639313697815
63,22476,0.25737932324409485
64,22528,0.167756125330925
64,22628,0.20252090692520142
64,22728,0.2012225240468979
64,22828,0.17109890282154083
65,22880,0.2274283766746521
65,22980,0.1618395298719406
65,23080,0.22512800991535187
65,23180,0.1669381558895111
66,23232,0.11030585318803787
66,23332,0.2203121930360794
66,23432,0.19825445115566254
66,23532,0.32999929785728455
67,23584,0.2396041452884674
67,23684,0.17142543196678162
67,23784,0.17920023202896118
67,23884,0.1911623775959015
68,23936,0.16171836853027344
68,24036,0.1422835886478424
68,24136,0.23633728921413422
68,24236,0.14930003881454468
69,24288,0.1929277777671814
69,24388,0.11594483256340027
69,24488,0.12955611944198608
69,24588,0.14793944358825684
70,24640,0.17219629883766174
70,24740,0.20540839433670044
70,24840,0.2221173197031021
70,24940,0.21928220987319946
71,24992,0.16145667433738708
71,25092,0.11475580185651779
71,25192,0.18719448149204254
71,25292,0.20469947159290314
72,25344,0.2074171006679535
72,25444,0.16665583848953247
72,25544,0.14277243614196777
72,25644,0.18245814740657806
73,25696,0.17498135566711426
73,25796,0.1523948758840561
73,25896,0.13669061660766602
73,25996,0.15998801589012146
74,26048,0.15229427814483643
74,26148,0.10747888684272766
74,26248,0.16250376403331757
74,26348,0.2410181164741516
75,26400,0.1578139066696167
75,26500,0.09066850692033768
75,26600,0.14721594750881195
75,26700,0.11267010867595673
76,26752,0.16732698678970337
76,26852,0.13678643107414246
76,26952,0.16021904349327087
76,27052,0.18437670171260834
77,27104,0.1407202184200287
77,27204,0.18275479972362518
77,27304,0.2110380232334137
77,27404,0.1646226942539215
78,27456,0.2682746648788452
78,27556,0.15853089094161987
78,27656,0.1438862532377243
78,27756,0.21926730871200562
79,27808,0.2295234650373459
79,27908,0.19113591313362122
79,28008,0.1959676444530487
79,28108,0.11718031764030457
80,28160,0.24808508157730103
80,28260,0.19841963052749634
80,28360,0.16096124053001404
80,28460,0.19093090295791626
81,28512,0.12949442863464355
81,28612,0.08357459306716919
81,28712,0.1968783289194107
81,28812,0.10430827736854553
82,28864,0.17862868309020996
82,28964,0.22328712046146393
82,29064,0.2118818312883377
82,29164,0.13359130918979645
83,29216,0.16567522287368774
83,29316,0.09349863231182098
83,29416,0.15317535400390625
83,29516,0.12790517508983612
84,29568,0.14074194431304932
84,29668,0.16071820259094238
84,29768,0.11919459700584412
84,29868,0.13317030668258667
85,29920,0.14757508039474487
85,30020,0.23586247861385345
85,30120,0.12460383772850037
85,30220,0.15550467371940613
86,30272,0.23667564988136292
86,30372,0.1599993109703064
86,30472,0.2522725760936737
86,30572,0.18129834532737732
87,30624,0.13105085492134094
87,30724,0.11338143050670624
87,30824,0.14601604640483856
87,30924,0.16314879059791565
88,30976,0.23088131844997406
88,31076,0.16889260709285736
88,31176,0.0967889279127121
88,31276,0.2750771641731262
89,31328,0.0855216532945633
89,31428,0.2181067168712616
89,31528,0.18890047073364258
89,31628,0.2419297844171524
90,31680,0.1578015685081482
90,31780,0.15921440720558167
90,31880,0.137380450963974
90,31980,0.06979598104953766
91,32032,0.15987886488437653
91,32132,0.1935291290283203
91,32232,0.2362304925918579
91,32332,0.23869849741458893
92,32384,0.12038074433803558
92,32484,0.23446913063526154
92,32584,0.156701922416687
92,32684,0.15335439145565033
93,32736,0.08264926820993423
93,32836,0.1604534387588501
